byte,nJ,dram_acc
784384,1557497.4825038,1210420.0
788480,1557904.1656905,1209748.0
792576,1558259.8026957,1209076.0
796672,1558665.1059384001,1208404.0
800768,1559046.1135924,1207756.0
804864,1559531.2215343001,1207156.0
808960,1559707.4461683,1206324.0
813056,1559937.1808102,1205492.0
817152,1560112.3105322002,1204660.0
821248,1560338.1034872,1203828.0
825344,1560514.9717601,1202996.0
829440,1560739.6548271,1202164.0
833536,1560914.22852,1201332.0
837632,1561139.003031,1200500.0
841728,1561312.2476522,1199668.0
845824,1561534.9492629,1198836.0
849920,1561707.588673,1198004.0
854016,1561928.942908,1197172.0
858112,1562100.955144,1196340.0
862208,1562321.200323,1195508.0
866304,1562493.316483,1194676.0
870400,1562712.451774,1193844.0
874496,1562879.906797,1193012.0
878592,1563099.125212,1192180.0
882688,1563267.863528,1191348.0
886784,1563484.779875,1190516.0
890880,1563653.6171229999,1189684.0
894976,1563869.423582,1188852.0
899072,1564035.979562,1188020.0
903168,1564251.864153,1187188.0
907264,1564414.953672,1186356.0
911360,1564628.541187,1185524.0
915456,1564792.914831,1184692.0
919552,1565006.57715,1183860.0
923648,1565169.85921,1183028.0
927744,1565381.227781,1182196.0
931840,1565542.225576,1181364.0
935936,1565752.484259,1180532.0
940032,1565913.583983,1179700.0
944128,1566123.912478,1178868.0
948224,1566283.920618,1178036.0
952320,1566491.9603570001,1177204.0
956416,1566649.67924,1176372.0
960512,1566856.609091,1175540.0
964608,1567014.434895,1174708.0
968704,1567220.25569,1173876.0
972800,1567378.163786,1173044.0
976896,1567582.874693,1172212.0
980992,1567736.143284,1171380.0
985088,1567943.29056,1170548.0
989184,1568095.467567,1169716.0
993280,1568297.95953,1168884.0
997376,1568353.425475,1168052.0
1001472,1568653.970789,1167220.0
1005568,1568813.316577,1166484.0
1009664,1569543.278796,1166036.0
1013760,1570023.872136,1165588.0
1017856,1570654.090711,1165140.0
1021952,1571234.407875,1164692.0
1026048,1571862.863678,1164244.0
1030144,1572441.382433,1163796.0
1034240,1573071.615481,1163348.0
1038336,1573648.3826640001,1162900.0
1042432,1574392.3755080001,1162452.0
1046528,1574968.4897099999,1162004.0
1050624,1574557.6499,1161556.0
1054720,1576310.4137010002,1161108.0
1058816,1575762.783655,1160660.0
1062912,1577514.934592,1160212.0
1067008,1578141.520335,1159764.0
1071104,1578686.461442,1159316.0
1075200,1579344.256394,1158868.0
1079296,1579888.617789,1158420.0
1083392,1580514.010508,1157972.0
1087488,1581089.587832,1157524.0
1091584,1581714.3820230002,1157076.0
1095680,1582289.371571,1156628.0
1099776,1582913.567234,1156180.0
1103872,1583487.969006,1155732.0
1107968,1584111.566141,1155284.0
1112064,1584685.380137,1154836.0
1116160,1585308.378744,1154388.0
1120256,1585899.637588,1153956.0
1124352,1586558.119091,1153540.0
1128448,1587164.48469,1153124.0
1132544,1587822.410417,1152708.0
1136640,1588430.605101,1152292.0
1140736,1594267.8229999999,1151876.0
1144832,1594754.105886,1151460.0
1148928,1595287.2885750001,1151044.0
1153024,1595773.0260959999,1150628.0
1157120,1596305.802342,1150212.0
1161216,1596788.6915779999,1149796.0
1165312,1597323.364301,1149380.0
1169408,1597805.780129,1148964.0
1173504,1598338.670342,1148548.0
1177600,1598821.9168719999,1148132.0
1181696,1599354.3261890002,1147716.0
1185792,1599838.249107,1147300.0
1189888,1600366.655351,1146884.0
1193984,1600850.1065250002,1146468.0
1198080,1601380.407582,1146052.0
1202176,1601863.387012,1145636.0
1206272,1602411.3195250002,1145236.0
1210368,1602930.063739,1144852.0
1214464,1603495.65998,1144468.0
1218560,1604011.593861,1144084.0
1222656,1604576.746966,1143700.0
1226752,1605094.620268,1143316.0
1230848,1605660.473169,1142932.0
1234944,1606176.768083,1142548.0
1239040,1606742.17708,1142164.0
1243136,1607258.037306,1141780.0
1247232,1607820.627522,1141396.0
1251328,1608337.194072,1141012.0
1255424,1608900.574249,1140628.0
1259520,1609416.7053430001,1140244.0
1263616,1609979.6423840001,1139860.0
1267712,1610495.338022,1139476.0
1271808,1611057.831927,1139092.0
1275904,1611570.717232,1138708.0
1280000,1612132.768001,1138324.0
1284096,1612553.983605,1137940.0
1288192,1613209.2003600001,1137556.0
1292288,1613948.7249830002,1137172.0
1296384,1614500.5526379999,1136788.0
1300480,1614982.866523,1136404.0
1304576,1615534.259106,1136020.0
1308672,1616047.744056,1135636.0
1312768,1616598.698111,1135252.0
1316864,1617110.614273,1134868.0
1320960,1617661.130184,1134484.0
1325056,1618173.747678,1134100.0
1329152,1618726.199938,1133716.0
1333248,1619225.484008,1133332.0
1337344,1619777.498892,1132948.0
1341440,1620289.249698,1132564.0
1345536,1620838.451177,1132180.0
1349632,1621349.768063,1131796.0
1353728,1621898.531014,1131412.0
1357824,1622408.282952,1131028.0
1361920,1622956.607759,1130644.0
1366016,1623467.0571889998,1130260.0
1370112,1624014.943468,1129876.0
1374208,1624523.829486,1129492.0
1378304,1625071.277621,1129108.0
1382400,1625489.765969,1128724.0
1386496,1626039.160437,1128340.0
1390592,1626547.190519,1127956.0
1394688,1627093.771966,1127572.0
1398784,1627602.496468,1127188.0
1402880,1628148.639387,1126804.0
1406976,1628674.139309,1126436.0
1411072,1629256.52938,1126084.0
1415168,1629801.0896100001,1125732.0
1419264,1630383.077697,1125380.0
1423360,1630927.240167,1125028.0
1427456,1631508.82627,1124676.0
1431552,1632051.466656,1124324.0
1435648,1632632.6511269999,1123972.0
1439744,1633176.018429,1123620.0
1443840,1633756.800916,1123268.0
1447936,1634299.770458,1122916.0
1452032,1634882.525838,1122564.0
1456128,1635421.600531,1122212.0
1460224,1636003.954279,1121860.0
1464320,1636546.128653,1121508.0
1468416,1637125.70554,1121156.0
1472512,1637666.36135,1120804.0
1476608,1638245.536605,1120452.0
1480704,1638786.915811,1120100.0
1484800,1639365.689082,1119748.0
1488896,1639906.670528,1119396.0
1492992,1640485.0418150001,1119044.0
1497088,1641024.506809,1118692.0
1501184,1641602.476464,1118340.0
1505280,1642142.662742,1117988.0
1509376,1642720.230413,1117636.0
1513472,1643260.018931,1117284.0
1517568,1643836.067686,1116932.0
1521664,1644375.458796,1116580.0
1525760,1644954.597728,1116228.0
1529856,1645491.216201,1115876.0
1533952,1646069.953149,1115524.0
1538048,1646607.433567,1115172.0
1542144,1647183.394006,1114820.0
1546240,1647721.592188,1114468.0
1550336,1648311.021707,1114128.0
1554432,1648885.823997,1113808.0
1558528,1649498.0007759999,1113488.0
1562624,1650071.3282980002,1113168.0
1566720,1650683.139957,1112848.0
1570816,1651257.219367,1112528.0
1574912,1651868.6655859998,1112208.0
1579008,1652441.2715079999,1111888.0
1583104,1653052.352607,1111568.0
1587200,1653625.7091370001,1111248.0
1591296,1654236.4247960001,1110928.0
1595392,1654809.419726,1110608.0
1599488,1655422.144822,1110288.0
1603584,1655991.293307,1109968.0
1607680,1656566.5366429999,1109616.0
1611776,1657064.548437,1109232.0
1615872,1657599.870912,1108848.0
1619968,1658097.448786,1108464.0
1624064,1658632.332733,1108080.0
1628160,1659128.368991,1107696.0
1632256,1659662.814794,1107312.0
1636352,1660159.5252120001,1106928.0
1640448,1660693.5324869999,1106544.0
1644544,1661188.702825,1106160.0
1648640,1661722.271956,1105776.0
1652736,1662218.114918,1105392.0
1656832,1662751.2455210001,1105008.0
1660928,1663246.654563,1104624.0
1665024,1663779.346638,1104240.0
1669120,1664273.217904,1103856.0
1673216,1664807.846712,1103472.0
1677312,1665300.013421,1103088.0
1681408,1665834.2037010002,1102704.0
1685504,1666328.311367,1102320.0
1689600,1666858.5863060001,1101936.0
1693696,1667352.2604359998,1101552.0
1697792,1667883.1991670001,1101168.0
1701888,1668376.439377,1100784.0
1705984,1668906.93958,1100400.0
1710080,1669398.645854,1100016.0
1714176,1669928.707913,1099632.0
1718272,1670421.080667,1099248.0
1722368,1670950.704198,1098864.0
1726464,1671442.643032,1098480.0
1730560,1671971.828035,1098096.0
1734656,1672462.235237,1097712.0
1738752,1672990.982096,1097328.0
1742848,1673482.0534740002,1096944.0
1746944,1674012.736682,1096560.0
1751040,1674500.999263,1096176.0
1755136,1675030.148151,1095792.0
1759232,1675520.352073,1095408.0
1763328,1676047.783732,1095024.0
1767424,1676537.553734,1094640.0
1771520,1677064.546865,1094256.0
1775616,1677552.789075,1093872.0
1779712,1678079.344062,1093488.0
1783808,1678568.246608,1093104.0
1787904,1679094.363067,1092720.0
1792000,1679582.8316930002,1092336.0
1796096,1680108.509624,1091952.0
1800192,1680484.5265219999,1091568.0
1804288,1680600.7833989998,1091184.0
1808384,1680679.492283,1090800.0
1812480,1680795.49188,1090416.0
1816576,1680872.85806,1090032.0
1820672,1680990.975638,1089648.0
1824768,1681069.179562,1089264.0
1828864,1681184.6649830001,1088880.0
1832960,1681262.616235,1088496.0
1837056,1681377.844376,1088112.0
1841152,1681455.542956,1087728.0
1845248,1681570.513817,1087344.0
1849344,1681647.959725,1086960.0
1853440,1681765.048183,1086576.0
1857536,1681841.155227,1086192.0
1861632,1681955.611912,1085808.0
1865728,1682032.5528600002,1085424.0
1869824,1682146.752265,1085040.0
1873920,1682223.440541,1084656.0
1878016,1682339.757543,1084272.0
1882112,1682416.193147,1083888.0
1886208,1682529.877992,1083504.0
1890304,1682606.060924,1083120.0
1894400,1682719.4884890001,1082736.0
1898496,1682794.3363970001,1082352.0
1902592,1682907.507066,1081968.0
1906688,1682983.1850379999,1081584.0
1910784,1683098.473304,1081200.0
1914880,1683173.898604,1080816.0
1918976,1683286.554713,1080432.0
1923072,1683361.727341,1080048.0
1927168,1683474.12617,1079664.0
1931264,1683549.0461260001,1079280.0
1935360,1683663.562552,1078896.0
1939456,1683737.151324,1078512.0
1943552,1683849.035977,1078128.0
1947648,1683923.450973,1077744.0
1951744,1684035.078346,1077360.0
1955840,1684109.24067,1076976.0
1959936,1684220.6107629999,1076592.0
1964032,1684294.520415,1076208.0
1968128,1684408.008105,1075824.0
1972224,1684481.665085,1075440.0
1976320,1684592.520618,1075056.0
1980416,1684664.850254,1074672.0
1984512,1684775.448891,1074288.0
1988608,1684848.600911,1073904.0
1992704,1684961.317145,1073520.0
1996800,1685034.216493,1073136.0
2000896,1685144.30057,1072752.0
2004992,1685216.947246,1072368.0
2009088,1681149.2625540001,1072112.0
2013184,1681524.232174,1071984.0
2017280,1681946.5736369998,1071856.0
2021376,1682319.0835159998,1071728.0
2025472,1682575.1245869999,1071600.0
2029568,1682949.928447,1071472.0
2033664,1683371.027174,1071344.0
2037760,1683745.746298,1071216.0
2041856,1684120.423694,1071088.0
2045952,1684495.0593619999,1070960.0
2050048,1684915.984777,1070832.0
2054144,1685290.535709,1070704.0
2058240,1686840.782331,1070576.0
2062336,1687211.80077,1070448.0
2066432,1687635.994486,1070320.0
2070528,1688007.998637,1070192.0
2074624,1688353.706345,1070064.0
2078720,1688728.0030689999,1069936.0
2082816,1692561.5796110001,1069808.0
2086912,1692935.784175,1069680.0
2091008,1693595.236612,1069552.0
2095104,1694775.3141700001,1069424.0
2099200,1694672.0553310001,1069296.0
2103296,1695046.0672550001,1069168.0
2107392,1695457.325092,1069040.0
2111488,1695831.2527919998,1068912.0
2115584,1696244.799746,1068784.0
2119680,1696618.643222,1068656.0
2123776,1697029.729539,1068528.0
2127872,1697403.488791,1068400.0
2131968,1697814.489348,1068272.0
2136064,1698188.164376,1068144.0
2140160,1698599.079173,1068016.0
2144256,1698972.669977,1067888.0
2148352,1699385.873891,1067760.0
2152448,1699759.380471,1067632.0
2156544,1700170.123748,1067504.0
2160640,1700543.546104,1067376.0
2164736,1700954.203621,1067248.0
2168832,1701327.541753,1067120.0
2172928,1697025.391448,1066992.0
2177024,1697398.661996,1066864.0
2181120,1697819.248067,1066736.0
2185216,1698191.367143,1066608.0
2189312,1698564.511227,1066480.0
2193408,1698937.613583,1066352.0
2197504,1699358.02583,1066224.0
2201600,1699731.043322,1066096.0
2205696,1701234.74315,1065968.0
2209792,1701607.67373,1065840.0
2213888,1702027.908569,1065712.0
2217984,1702400.754285,1065584.0
2222080,1702744.970153,1065456.0
2226176,1703117.733565,1065328.0
2230272,1703537.7956039999,1065200.0
2234368,1703909.4090800001,1065072.0
2238464,1704282.0460279998,1064944.0
2242560,1704654.6412479999,1064816.0
2246656,1705074.5294630001,1064688.0
2250752,1705447.039819,1064560.0
2254848,1705819.508447,1064432.0
2258944,1706191.9353470001,1064304.0
2263040,1706610.585434,1064176.0
2267136,1706982.927598,1064048.0
2271232,1707355.228034,1063920.0
2275328,1707727.486742,1063792.0
2279424,1708145.963517,1063664.0
2283520,1708518.1374889999,1063536.0
2287616,1708887.646795,1063408.0
2291712,1709262.111932,1063280.0
2295808,1709678.0402620002,1063152.0
2299904,1710050.0457859999,1063024.0
2304000,1710422.0095819999,1062896.0
2308096,1710796.306527,1062768.0
2312192,1711212.061545,1062640.0
2316288,1711583.898877,1062512.0
2320384,1711955.694481,1062384.0
2324480,1712329.823234,1062256.0
2328576,1712746.467068,1062128.0
2332672,1713118.13608,1062000.0
2336768,1713491.0763690001,1061872.0
2340864,1713862.662053,1061744.0
2344960,1714279.132063,1061616.0
2349056,1714650.6328830002,1061488.0
2353152,1715024.466852,1061360.0
2357248,1715395.8842159999,1061232.0
2361344,1715811.11917,1061104.0
2365440,1716184.8266750001,1060976.0
2369536,1716556.117575,1060848.0
2373632,1716927.366747,1060720.0
2377728,1717342.428389,1060592.0
2381824,1750923.92197,1060464.0
2385920,1717995.6542,1060336.0
2390016,1718366.7387640001,1060208.0
2394112,1718785.065635,1060080.0
2398208,1719156.065335,1059952.0
2402304,1719527.023307,1059824.0
2406400,1719897.939551,1059696.0
2410496,1720334.200278,1059584.0
2414592,1753363.918992,1059488.0
2418688,1753702.112139,1059392.0
2422784,1754037.899113,1059296.0
2426880,1754419.8699460002,1059200.0
2430976,1754755.5933680001,1059104.0
2435072,1755093.660371,1059008.0
2439168,1755429.321201,1058912.0
2443264,1755811.16205,1058816.0
2447360,1756149.134205,1058720.0
2451456,1756484.700187,1058624.0
2455552,1756820.234873,1058528.0
2459648,1757201.9457379999,1058432.0
2463744,1757539.791749,1058336.0
2467840,1757875.231587,1058240.0
2471936,1758213.0150060002,1058144.0
2476032,1758595.653935,1058048.0
2480128,1758929.940877,1057952.0
2484224,1759265.254571,1057856.0
2488320,1759602.911846,1057760.0
2492416,1759985.420407,1057664.0
2496512,1760320.639157,1057568.0
2500608,1760654.769139,1057472.0
2504704,1760992.30027,1057376.0
2508800,1761374.6784629999,1057280.0
2512896,1761709.771069,1057184.0
2516992,1762047.207256,1057088.0
2521088,1762381.180278,1056992.0
2525184,1762763.428103,1056896.0
2529280,1763098.394565,1056800.0
2533376,1763435.704608,1056704.0
2537472,1763770.608478,1056608.0
2541568,1764151.669327,1056512.0
2545664,1764488.8845219999,1056416.0
2549760,1764823.693544,1056320.0
2553856,1765158.47127,1056224.0
2557952,1765539.402135,1056128.0
2562048,1765876.491186,1056032.0
2566144,1766211.1740640001,1055936.0
2570240,1766548.200523,1055840.0
2574336,1766929.001404,1055744.0
2578432,1767263.589434,1055648.0
2582528,1767598.146168,1055552.0
2586624,1767935.046483,1055456.0
2590720,1768315.71738,1055360.0
2594816,1768650.1792660002,1055264.0
2598912,1768984.609856,1055168.0
2603008,1769321.384027,1055072.0
2607104,1769702.979916,1054976.0
2611200,1770036.2606819998,1054880.0
2615296,1770372.940005,1054784.0
2619392,1770707.213155,1054688.0
2623488,1771088.6786759999,1054592.0
2627584,1771422.888178,1054496.0
2631680,1771758.386861,1054400.0
2635776,1772092.5338670001,1054304.0
2639872,1772473.86902,1054208.0
2643968,1772810.327255,1054112.0
2648064,1773144.379317,1054016.0
2652160,1773477.346163,1053920.0
2656256,1773858.550948,1053824.0
2660352,1774194.883039,1053728.0
2664448,1774528.808957,1053632.0
2668544,1774865.078456,1053536.0
2672640,1775245.099337,1053440.0
2676736,1775578.930407,1053344.0
2680832,1775912.730181,1053248.0
2684928,1776248.873536,1053152.0
2689024,1776628.764433,1053056.0
2693120,1776962.469359,1052960.0
2697216,1777298.517866,1052864.0
2701312,1777632.1602,1052768.0
2705408,1778011.921113,1052672.0
2709504,1778345.4998950001,1052576.0
2713600,1778681.422258,1052480.0
2717696,1779014.938448,1052384.0
2721792,1779394.569377,1052288.0
2725888,1779730.396892,1052192.0
2729984,1780063.818234,1052096.0
2734080,1780397.20828,1052000.0
2738176,1780777.761129,1051904.0
2742272,1781113.462404,1051808.0
2746368,1781445.705794,1051712.0
2750464,1781781.344573,1051616.0
2754560,1782161.767054,1051520.0
2758656,1782494.967308,1051424.0
2762752,1782828.136266,1051328.0
2766848,1783162.597573,1051232.0
2770944,1783542.889686,1051136.0
2775040,1783875.963796,1051040.0
2779136,1784211.381487,1050944.0
2783232,1784544.393005,1050848.0
2787328,1784923.503902,1050752.0
2791424,1785256.451868,1050656.0
2795520,1785591.743415,1050560.0
2799616,1785924.628789,1050464.0
2803712,1786303.609702,1050368.0
2807808,1786638.806401,1050272.0
2811904,1786971.596927,1050176.0
2816000,1787304.356157,1050080.0
2820096,1787685.5819630001,1049984.0
2824192,1788018.277641,1049888.0
2828288,1788350.942023,1049792.0
2832384,1788685.949986,1049696.0
2836480,1789065.720531,1049600.0
2840576,1789397.240465,1049504.0
2844672,1789732.1535800002,1049408.0
2848768,1790064.660522,1049312.0
2852864,1790444.300699,1049216.0
2856960,1790776.7439930001,1049120.0
2861056,1791111.530868,1049024.0
2865152,1791442.862642,1048928.0
2869248,1791822.372451,1048832.0
2873344,1792157.0644780002,1048736.0
2877440,1792489.350332,1048640.0
2881536,1792821.60489,1048544.0
2885632,1793199.935787,1048448.0
2889728,1793534.50167,1048352.0
2893824,1793866.66138,1048256.0
2897920,1794201.164671,1048160.0
2902016,1794579.365584,1048064.0
2906112,1794911.4304459998,1047968.0
2910208,1795243.464012,1047872.0
2914304,1795577.841159,1047776.0
2918400,1795955.912088,1047680.0
2922496,1796287.8508060002,1047584.0
2926592,1796622.133105,1047488.0
2930688,1796954.009231,1047392.0
2934784,1797332.997472,1047296.0
2938880,1780013.679797,1047200.0
2942976,1797997.918905,1047104.0
2947072,1780705.889143,1047008.0
2951168,1798708.52676,1046912.0
2955264,1781444.0819,1046816.0
2959360,1799374.243009,1046720.0
2963456,1782136.073518,1046624.0
2967552,1782992.059651,1046528.0
2971648,1782875.091139,1046432.0
2975744,1783683.860325,1046336.0
2979840,1783566.8648370001,1046240.0
2983936,1784421.63769,1046144.0
2988032,1784304.614266,1046048.0
2992128,1785113.220636,1045952.0
2996224,1784996.1702359999,1045856.0
3000320,1785851.822193,1045760.0
3004416,1785734.743761,1045664.0
3008512,1786543.187219,1045568.0
3012608,1786426.081811,1045472.0
3016704,1787280.521256,1045376.0
3020800,1787163.387912,1045280.0
3024896,1787971.668554,1045184.0
3028992,1787854.508234,1045088.0
3033088,1788709.826015,1044992.0
3037184,1788592.637663,1044896.0
3041280,1789400.7553929999,1044800.0
3045376,1789283.5400649998,1044704.0
3049472,1790138.69071,1044608.0
3053568,1790021.44735,1044512.0
3057664,1790829.4021680001,1044416.0
3061760,1790712.1318319999,1044320.0
3065856,1788350.451565,1044224.0
3069952,1788233.1484929998,1044128.0
3074048,1789043.310572,1044032.0
3078144,1788925.980524,1043936.0
3082240,1792994.056068,1043840.0
3086336,1792876.702788,1043744.0
3090432,1793684.331878,1043648.0
3094528,1793566.951622,1043552.0
3098624,1791177.732444,1043456.0
3102720,1791060.319548,1043360.0
3106816,1791867.781118,1043264.0
3110912,1791750.341246,1043168.0
3115008,1792623.705991,1043072.0
3119104,1792506.237223,1042976.0
3123200,1793313.535017,1042880.0
3127296,1793196.0392729999,1042784.0
3131392,1793916.254193,1042688.0
3135488,1793798.732049,1042592.0
3139584,1794605.868563,1042496.0
3143680,1794488.319443,1042400.0
3147776,1795447.30111,1042304.0
3151872,1795329.722614,1042208.0
3155968,1796136.694872,1042112.0
3160064,1796019.0894,1042016.0
3164160,1796740.025312,1041920.0
3168256,1796622.393344,1041824.0
3172352,1797429.204226,1041728.0
3176448,1797311.545282,1041632.0
3180544,1798183.1870829999,1041536.0
3184640,1798065.4993389999,1041440.0
3188736,1798872.1465409999,1041344.0
3192832,1798754.431821,1041248.0
3196928,1800686.594946,1041152.0
3201024,1800568.85085,1041056.0
3205120,1801375.333796,1040960.0
3209216,1801257.5627239998,1040864.0
3213312,1800943.041853,1040720.0
3217408,1800707.446717,1040528.0
3221504,1801398.278156,1040336.0
3225600,1801162.629068,1040144.0
3229696,1802946.797116,1039952.0
3233792,1802711.090812,1039760.0
3237888,1803399.220398,1039568.0
3241984,1803163.460142,1039376.0
3246080,1803913.9201540002,1039184.0
3250176,1803678.1022980001,1038992.0
3254272,1804368.2794010001,1038800.0
3258368,1804132.4075930002,1038608.0
3262464,1804820.047963,1038416.0
3266560,1804584.122203,1038224.0
3270656,1805271.6007170002,1038032.0
3274752,1805035.621005,1037840.0
3278848,1805786.4384090002,1037648.0
3282944,1805550.400905,1037456.0
3287040,1806237.5518669998,1037264.0
3291136,1806001.460411,1037072.0
3295232,1806690.824394,1036880.0
3299328,1806454.678986,1036688.0
3303424,1807141.506236,1036496.0
3307520,1806905.306876,1036304.0
3311616,1807654.406184,1036112.0
3315712,1807418.149224,1035920.0
3319808,1808104.649114,1035728.0
3323904,1807868.338202,1035536.0
3328000,1808554.676236,1035344.0
